Latitude;Longitude;rp100;rp1000
-34,8509;135,5852;0,013557675;0,020699285
41,0475;-2,2048;0;0
41,9974;-6,2738;0;0
43,2723281;-6,3061746;0;0
42,5481;12,67632;1,110166907;1,432329655
37,3449;-2,5091;0;0
43,2239834;-6,8729721;0;0
41,6584568;-8,1891179;0;0
41,2048231;15,5621246;0;0
61,2104;28,7834;0,105856776;0,122484297
42,629;-0,3214;0;0
65,4763;15,8566;0,660915971;0,974689603
32,5163;-84,9969;0;0
46,3128;9,3963;0;0
48,8616;21,0911;1,837644815;2,904219151
52,6089705;1,7361332;0,188592136;0,241827101
41,6979062;-8,0221519;0;0
42,5557816;12,6846923;1,110166907;1,432329655
42,0982553;14,3279143;0;0
40,6892751;-7,9953257;0;0
64,7333;26,5;0,047313806;0,080555066
38,8795;-1,3123;0;0
61,95;15,5167;0,145271704;0,224833459
64,2861;17,2427;0,040723693;0,05426012
53,7259;-1,3626;0,281134903;0,406385958
53,1623;-2,4037;0;0
49,1331;18,4538;0,372389674;0,653817177
59,95;12,75;0,159163594;0,21876353
55,1822;-2,0714;0;0
24,12;38,118;0,004132243;0,004824462
65,0521;17,2328;1,92296195;3,1484375
51,1656353;21,2267375;0;0
51,17541;15,01638;0,247105211;0,320016533
41,2748672;14,9211685;0;0
41,7283909;-8,0199059;0;0
33,4587;-87,3568;2,005982876;2,867172718
43,4949;-7,2421;0,19919315;0,242810696
43,2942171;-6,3951609;0,103641838;0,124544628
42,7238;-0,2817;0;0
40,9221644;14,7776341;0;0
40,1935;-6,1634;0;0
55,8087;-3,5322;0;0
51,14;17,6246;0;0
43,7754061;-1,2191306;0;0
32,5743;-85,8901;0;0
58,4087;-3,2715;0;0
55,1524;-3,3809;0,027442226;0,039553292
53,6908;-1,6291;0,281134903;0,406385958
39,2652694;17,0515025;0;0
46,616663;9,2914673;0;0
41,0669386;-8,4617603;0,587377369;0,806826472
45,7076963;7,6746603;0,484714121;0,609210491
37,2174;-2,9997;0;0
38,6722;-2,4099;0;0
38,9667;-1,2167;0;0
39,6;-1,8;0;0
39,5;-2,1667;0;0
39,4085;-2,2017;0;0
42,3897;-1,7932;0,3879022;0,744892895
38,9722;-1,4518;0;0
51,45;1,08;;
14,026161;108,9671299;0;0
38,9921979;-1,878099;0,144750476;0,200339749
39,467874;-2,171247;0;0
41,3043855;-0,760132;0,064910099;0,080493107
39,9;-1,2667;0;0
43,2134;-7,2937;0;0
33,8148699;-116,9708709;0;0
40,6020252;-4,3424811;0;0
27,47;41,742;0;0
43,2552114;-6,0187584;0;0
41,3424;-0,9599;0;0
63,1625;15,6245;0,408778012;0,64842701
-34,6977;149,3861;0;0
60,4858;15,4371;0,332367122;0,468614101
33,2553;-87,4495;2,005982876;2,867172718
38,7564;-1,0117;0;0
36,035348;138,0473657;0;0
58,1356;12,1199;3,416668415;5
48,1965263;14,1953991;0,684155405;1,153080463
47,6515;10,7355;0;0
56,3706791;8,8447499;0;0
48,1912;19,8296;0;0
39,0198984;-1,8875279;0,144750476;0,200339749
64,7129;18,2534;0,074215263;0,116348661
33,1403;-83,2028;0;0
49,8465;14,4219;0,769555032;1,213556767
18,4457388;-67,04766;0;0
45,5945715;7,7900661;0,484714121;0,609210491
34,7133;-83,3519;0,578160405;1,054038525
63,7833;25,9667;0,019650929;0,023396738
41,8152473;-1,4903512;0;0
42,7762;-9,0603;0;0
42,4768;-7,2746;1,495377541;2,200577736
42,4139;-6,9191;1,495377541;2,200577736
38,6328;-0,8197;0;0
60,55;17,7667;0;0
53,6223;-0,9356;0,116382234;0,148172975
41,4607718;13,9297838;0;0
39,4830599;-7,8651951;0;0
42,453834;-70,974142;0,378433466;0,525387406
51,2747859;5,576274;0;0
46,9246293;9,7934252;0;0
34,0989623;-116,8291081;0;0
48,4884;17,7938;0,447673142;0,635658205
60,4167;17,3;0,332367122;0,468614101
48,196888;14,1096799;0,684155405;1,153080463
42,5273;-3,4383;0;0
49,5511176;2,0990365;0;0
38,31700134;23,31699944;0;0
52,6191598;18,5146004;0;0
41,36176;15,31104;0;0
38,8561745;-9,0772295;0,487363577;0,670802176
45,7438448;7,2981681;0,484714121;0,609210491
32,2925;-88,7461;0;0
39,8908839;-8,2899808;0,27391994;0,318956375
42,0635;-7,7246;0;0
43,2370611;-6,8295173;0,19919315;0,242810696
42,5741;0,1824;0;0
43,36620712;-7,469906807;0;0
